"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"WikidataQueryServiceR","WikidataQueryServiceR","/Users/edc5240/Rlibs","1.0.0",NA,"R (>= 3.1.2)","httr (>= 1.2.1), dplyr (>= 1.0.0), jsonlite (>= 1.2),
WikipediR (>= 1.5.0), ratelimitr (>= 0.4.1), purrr (>= 0.3.4),
readr (>= 1.3.1), rex (>= 1.2.0)",NA,"testthat (>= 2.3.0), lintr (>= 2.0.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"WikidataR","WikidataR","/Users/edc5240/Rlibs","2.3.3",NA,"R (>= 3.5.0)","httr, jsonlite, WikipediR, WikidataQueryServiceR, tibble,
dplyr, stringr, Hmisc, progress, pbapply, stats, readr, crayon,
utils",NA,"markdown, testthat, tidyverse, knitr, pageviews",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"WikipediaR","WikipediaR","/Users/edc5240/Rlibs","1.1",NA,"R (>= 2.10.0), XML (>= 2.6.3), httr (>= 1.0.0)",NA,NA,NA,NA,"GPL (> 2)",NA,NA,NA,NA,"no","4.1.0"
"WikipediR","WikipediR","/Users/edc5240/Rlibs","1.5.0",NA,NA,"httr, jsonlite",NA,"testthat, knitr, WikidataR, pageviews",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"wikitaxa","wikitaxa","/Users/edc5240/Rlibs","0.4.0",NA,"R(>= 3.2.1)","WikidataR, data.table, curl, crul (>= 0.3.4), tibble,
jsonlite, xml2",NA,"testthat, knitr, rmarkdown, vcr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"withr","withr","/Users/edc5240/Rlibs","2.5.0",NA,"R (>= 3.2.0)","graphics, grDevices, stats",NA,"callr, covr, DBI, knitr, lattice, methods, rlang, rmarkdown
(>= 2.12), RSQLite, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"wk","wk","/Users/edc5240/Rlibs","0.6.0",NA,NA,NA,NA,"testthat (>= 3.0.0), vctrs (>= 0.3.0), sf, tibble, readr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"worrms","worrms","/Users/edc5240/Rlibs","0.4.2",NA,NA,"crul (>= 0.6.0), tibble (>= 1.2), jsonlite (>= 1.1),
data.table",NA,"roxygen2 (>= 7.1.0), knitr, rmarkdown, testthat, vcr (>=
0.2.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"xfun","xfun","/Users/edc5240/Rlibs","0.31",NA,NA,"stats, tools",NA,"testit, parallel, codetools, rstudioapi, tinytex (>= 0.30),
mime, markdown, knitr, htmltools, remotes, pak, rhub, renv,
curl, jsonlite, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"XML","XML","/Users/edc5240/Rlibs","3.99-0.10",NA,"R (>= 4.0.0), methods, utils",NA,NA,"bitops, RCurl",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"xml2","xml2","/Users/edc5240/Rlibs","1.3.3",NA,"R (>= 3.1.0)","methods",NA,"covr, curl, httr, knitr, magrittr, mockery, rmarkdown,
testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"xopen","xopen","/Users/edc5240/Rlibs","1.0.0",NA,"R (>= 3.1)","processx",NA,"ps, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"xtable","xtable","/Users/edc5240/Rlibs","1.8-4",NA,"R (>= 2.10.0)","stats, utils",NA,"knitr, plm, zoo, survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"xts","xts","/Users/edc5240/Rlibs","0.12.1",NA,"zoo (>= 1.7-12)","methods","zoo","timeSeries, timeDate, tseries, chron, fts, tis, RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"yaml","yaml","/Users/edc5240/Rlibs","2.3.5",NA,NA,NA,NA,"RUnit",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"zip","zip","/Users/edc5240/Rlibs","2.2.0",NA,NA,NA,NA,"covr, processx, R6, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"zoo","zoo","/Users/edc5240/Rlibs","1.8-10",NA,"R (>= 3.1.0), stats","utils, graphics, grDevices, lattice (>= 0.20-27)",NA,"AER, coda, chron, fts, ggplot2 (>= 3.0.0), mondate, scales,
stinepack, strucchange, timeDate, timeSeries, tis, tseries, xts",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"ztable","ztable","/Users/edc5240/Rlibs","0.2.3",NA,"R (>= 3.1.2)","stringr, magrittr, RColorBrewer, flextable, officer,
rstudioapi, scales",NA,"MASS, moonBook, survival, testthat, knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.1"
"base","base","/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library","4.2.0","base",NA,NA,NA,"methods",NA,"Part of R 4.2.0",NA,NA,NA,NA,NA,"4.2.0"
"boot","boot","/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library","1.3-28","recommended","R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,"Unlimited",NA,NA,NA,NA,"no","4.2.0"
"class","class","/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library","7.3-20","recommended","R (>= 3.0.0), stats, utils","MASS",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"cluster","cluster","/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library","2.1.3","recommended","R (>= 3.5.0)","graphics, grDevices, stats, utils",NA,"MASS, Matrix",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"codetools","codetools","/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library","0.2-18","recommended","R (>= 2.1)",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.2.0"
"compiler","compiler","/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library","4.2.0","base",NA,NA,NA,NA,NA,"Part of R 4.2.0",NA,NA,NA,NA,NA,"4.2.0"
"datasets","datasets","/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library","4.2.0","base",NA,NA,NA,NA,NA,"Part of R 4.2.0",NA,NA,NA,NA,NA,"4.2.0"
"foreign","foreign","/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library","0.8-82","recommended","R (>= 4.0.0)","methods, utils, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"graphics","graphics","/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library","4.2.0","base",NA,"grDevices",NA,NA,NA,"Part of R 4.2.0",NA,NA,NA,NA,"yes","4.2.0"
"grDevices","grDevices","/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library","4.2.0","base",NA,NA,NA,"KernSmooth",NA,"Part of R 4.2.0",NA,NA,NA,NA,"yes","4.2.0"
"grid","grid","/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library","4.2.0","base",NA,"grDevices, utils",NA,NA,NA,"Part of R 4.2.0",NA,NA,NA,NA,"yes","4.2.0"
"KernSmooth","KernSmooth","/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library","2.23-20","recommended","R (>= 2.5.0), stats",NA,NA,"MASS, carData",NA,"Unlimited",NA,NA,NA,NA,"yes","4.2.0"
"lattice","lattice","/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library","0.20-45","recommended","R (>= 3.0.0)","grid, grDevices, graphics, stats, utils",NA,"KernSmooth, MASS, latticeExtra","chron","GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"MASS","MASS","/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library","7.3-56","recommended","R (>= 3.3.0), grDevices, graphics, stats, utils","methods",NA,"lattice, nlme, nnet, survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"Matrix","Matrix","/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library","1.4-1","recommended","R (>= 3.5.0)","methods, graphics, grid, stats, utils, lattice",NA,"expm, MASS","MatrixModels, graph, SparseM, sfsmisc, igraph, maptools, sp,
spdep","GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","4.2.0"
"methods","methods","/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library","4.2.0","base",NA,"utils, stats",NA,"codetools",NA,"Part of R 4.2.0",NA,NA,NA,NA,"yes","4.2.0"
"mgcv","mgcv","/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library","1.8-40","recommended","R (>= 3.6.0), nlme (>= 3.1-64)","methods, stats, graphics, Matrix, splines, utils",NA,"parallel, survival, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"nlme","nlme","/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library","3.1-157","recommended","R (>= 3.5.0)","graphics, stats, utils, lattice",NA,"Hmisc, MASS, SASmixed",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"nnet","nnet","/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library","7.3-17","recommended","R (>= 3.0.0), stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"parallel","parallel","/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library","4.2.0","base",NA,"tools, compiler",NA,"methods","snow, nws, Rmpi","Part of R 4.2.0",NA,NA,NA,NA,"yes","4.2.0"
"rpart","rpart","/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library","4.1.16","recommended","R (>= 2.15.0), graphics, stats, grDevices",NA,NA,"survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"spatial","spatial","/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library","7.3-15","recommended","R (>= 3.0.0), graphics, stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"splines","splines","/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library","4.2.0","base",NA,"graphics, stats",NA,"Matrix, methods",NA,"Part of R 4.2.0",NA,NA,NA,NA,"yes","4.2.0"
"stats","stats","/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library","4.2.0","base",NA,"utils, grDevices, graphics",NA,"MASS, Matrix, SuppDists, methods, stats4",NA,"Part of R 4.2.0",NA,NA,NA,NA,"yes","4.2.0"
"stats4","stats4","/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library","4.2.0","base",NA,"graphics, methods, stats",NA,NA,NA,"Part of R 4.2.0",NA,NA,NA,NA,NA,"4.2.0"
"survival","survival","/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library","3.3-1","recommended","R (>= 3.5.0)","graphics, Matrix, methods, splines, stats, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"tcltk","tcltk","/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library","4.2.0","base",NA,"utils",NA,NA,NA,"Part of R 4.2.0",NA,NA,NA,NA,"yes","4.2.0"
"tools","tools","/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library","4.2.0","base",NA,NA,NA,"codetools, methods, xml2, curl, commonmark, knitr, xfun, mathjaxr",NA,"Part of R 4.2.0",NA,NA,NA,NA,"yes","4.2.0"
"utils","utils","/Library/Frameworks/R.framework/Versions/4.2-arm64/Resources/library","4.2.0","base",NA,NA,NA,"methods, xml2, commonmark, knitr",NA,"Part of R 4.2.0",NA,NA,NA,NA,"yes","4.2.0"
